Empresa,Categoria,Serviços/Produtos,Telefone,Responsável,Endereço,Região,Vantagem
ACE Cajamar,Lazer,"Hopihari,  Hello Park, Thermas Wather Park e Parque da Mônica",(11) 4447-4091,Katia/Abigail,"Rua Oswaldo de Lourenzi, 192, Cajamar",Jordanésia,"Descontos Hello Park de 89 por 59, Hopi Hari de 239 por 91 (só dinheiro), Parque da Mônica 169 por 115"
Alê algodão doce e pipoca,Lazer,Aluguel de máquinas de algodão doce e pipoca para eventos,(11) 97325-0103,Alexsandra,Contato pelo whats app,Centro,"Nos eventos com até 100 convidados, em contratações a partir de 2 (duas) horas, o associado terá 10% de desconto no valor do serviço."
Ana Beatriz Estética,Beleza,Procedimentos estáticos faciais e corporais,(110911583949,Ana Beatriz,"Rua das Amazonas, n° 74-A, sala 5, Portal",Polvilho,Desconto de 15% em todos os procedimentos estéticos
Aquário de São Paulo,Lazer,Atrações aquáticas,(11) 97706-8599,Lucas,"Rua Huet Bacelar, 407 - Ipiranga",Outro município,Desconto de 10% no valor do ingresso
Calçados Sérgio,Vestuário e acessórios,"Roupas, calçados e acessórios",(11) 4183-8164,Ricardo,"Avenida Tenente Marques, n° 1757 - Polvilho",Polvilho,"Desconto de 10% para compras acima de R$100,00"
Carol Presentes,Compras,Produtos presenteáveis,(11) 97292-6694,Ana Carolina,"Rua das Prímulas, 63 - Portal",Polvilho,Desconto de 10%na compra de produtos
Chiquinho Barbearia,Beleza,"Corte, barba e químicas em geral",(11) 97293-5458,Francisco,"Rua Vereador Joaquim Soares de Araújo, 359- Jordanésia",Jordanésia,Desconto de 10% sobre os valores da tabela de serviços
Churrascaria do Luiz,Alimentação,Refeições,11 4447-4332,Luciana,"Avenida Deovair Cruz de Oliveira, 199, Jordanésia",Jordanésia,Desconto de 10% no valor do consumo
Cidade da Criança,Lazer,Parque de Diversões,(11) 97706-8599,Lucas,"Rua Tasman, 600 - Jardim do Mar - São Bernardo do Campo",Outro município,Desconto de 10% no valor do ingresso
Cindy Psicologia,Saúde,Psicologia clínica,(11) 99766-1921,Cindy,"Avenida Ayrton Senna, 269, sala 04 - Alpes dos Ipês",Polvilho,Desconto de 10% no valor das consultas.
Club de Férias,Lazer,Hospedagem e viagens,(11) 99872-4807,,Online,Outro município,Descontos diversos em hospedagens em todo o Brasil
Crossfit Cajamar,Atividades físicas,Crossfit,(11) 99363-8828,Andreia,"Rua das Magnólias, 224 - Portal dos Ipês",Polvilho,Desconto de 15% no valor dos planos vigentes
DR Consultoria Financeira e TI,Outro,Declaração de Imposto de Renda PF e MEI,(11) 98963-5676,Daniel,Contato pelo whats app,Polvilho,Desconto de 10% no valor da declaração anual de IR
EPD - Escola Paulista de Direito,Educação,Cursos de Graduação e Pós graduação em Direito,(11) 95650-3490,,"Av da Liberdade, 956, Liberdade, São Paulo",Outro município,30 % de desconto nos cursos de pós-graduação online; 10% de desconto nos cursos presenciais e hibridos (Graduação e Pós-Graduação) e 5% de desconto nos cursos de mestrado
Farma Ponunduva,Saúde,Medicamentos e dermocosméticos,(11)91577-0639,Carina,"Estrada Francisco Missé, n°7502, Ponunduva",Centro,Desconto entre 20% e 40% em medicamentos genéricos; Desconto de 10% em medicamentos de referência ou simulares; 10% de desconto em dermocosméticos.
Fisk,Educação,"Cursos: Ingês, Espanhol, Informática, Libras, Robótica, Empreendedorismo",(11)91067-8054,Willian,"R. José Domiciano de Lima, 106 - Polvilho",Polvilho,Desconto de 30% nas mensalidades 
Garagem do Pardal,Atividades físicas,Crossfit,(11) 97529-5481,Pardal,"Avenida das Jacubinas, 306 - Portal dos Ipês III",Polvilho,"Desconto de R$ 20,00 na mensalidade dos pacotes diários e nos pacotes para 3 vezes na semana."
